id,cable_id,description,name,color,coordinates,length,rfs,owners,url,col10
strategic-evolution-underwater-link-seul,1893,"[{""latlon"":""17.925611,-88.294458"",""name"":""Bomba, Belize"",""landing_point_id"":16711},{""latlon"":""17.911036,-87.978345"",""name"":""San Pedro, Belize"",""landing_point_id"":16710}]",Strategic Evolution Underwater Link (SEUL),#9ea0a2,"<MultiGeometry><LineString><coordinates>-88.2944555011917,17.92561325214,0 -87.9783424438791,17.9110365102294,0</coordinates></LineString></MultiGeometry>",24 km,Q2 2017,Belize Telemedia,,
labuan-brunei-submarine-cable,1891,"[{""latlon"":""5.255329,115.168946"",""name"":""Kiamsam, Malaysia"",""landing_point_id"":16695},{""latlon"":""4.926374,114.885840"",""name"":""Tungku, Brunei"",""landing_point_id"":5970}]",Labuan-Brunei Submarine Cable,#b3b5b7,"<MultiGeometry><LineString><coordinates>114.885637380531,4.92676027347057,0 114.91893813819,5.15575350908248,0 115.168937961088,5.25534098770029,0</coordinates></LineString></MultiGeometry>",n.a.,Q3 2016,Common Tower Technologies,,
djibouti-africa-regional-express-dare,1863,"[{""latlon"":""10.435112,45.010874"",""name"":""Berbera, Somalia"",""landing_point_id"":10093},{""latlon"":""11.275566,49.187922"",""name"":""Bosaso, Somalia"",""landing_point_id"":16373},{""latlon"":""-6.823229,39.269665"",""name"":""Dar Es Salaam, Tanzania"",""landing_point_id"":4182},{""latlon"":""11.594682,43.147984"",""name"":""Djibouti City, Djibouti"",""landing_point_id"":4177},{""latlon"":""13.320291,43.247300"",""name"":""Mocha, Yemen"",""landing_point_id"":16693},{""latlon"":""2.041195,45.344174"",""name"":""Mogadishu, Somalia"",""landing_point_id"":4255},{""latlon"":""-4.053211,39.672790"",""name"":""Mombasa, Kenya"",""landing_point_id"":5896},{""latlon"":""12.696390,53.486553"",""name"":""Socotra, Yemen"",""landing_point_id"":16694}]",Djibouti Africa Regional Express (DARE),#b3b5b7,"<MultiGeometry><LineString><coordinates>45.3441827380994,2.04120210021398,0 47.6207436253624,-0.460410037506299,0</coordinates></LineString><LineString><coordinates>49.1879300151528,11.2755557107515,0 48.9992582738097,11.83621855997,0</coordinates></LineString><LineString><coordinates>53.4865597824632,12.6963865160025,0 53.4865597824632,12.9401558040957,0</coordinates></LineString><LineString><coordinates>45.0108821929627,10.4351158293461,0 44.9284603763511,10.9642279735882,0</coordinates></LineString><LineString><coordinates>43.6815862596484,12.1259572425636,0 43.1479928876509,11.5948693714478,0</coordinates></LineString><LineString><coordinates>43.8985782934292,-3.84424382075146,0 42.2000443404366,-6.11973781958535,0 39.2696753225875,-6.82313226349248,0</coordinates></LineString><LineString><coordinates>43.2473092235443,13.3202820661595,0 43.7162542038393,12.3283872879309,0 43.6815862596484,12.1259572425636,0 44.0869570662299,11.4186021769931,0 44.6179137213452,11.0628653829408,0 45.2471124943649,10.8630641043948,0 52.3855839999047,12.7115337294509,0 53.4865597824632,12.9401558040957,0 54.5875355650216,12.9401558040957,0 55.0105821403314,11.8278074075364,0 50.2862690808291,1.96449123977357,0 43.8985782934292,-3.84424382075146,0 42.6572705790332,-3.88175602762268,0 39.672897693191,-4.05292670265018,0</coordinates></LineString></MultiGeometry>","5,500 km",May 2018,"Djibouti Telecom,  Africa Marine Express,  TeleYemen,  Telesom,  Hormuud Telecom Somalia,  Golis Telecommunications,  Somtel International",,
marea,1890,"[{""latlon"":""43.268348,-2.946159"",""name"":""Bilbao, Spain"",""landing_point_id"":3067},{""latlon"":""36.755009,-76.059198"",""name"":""Virginia Beach, Virginia, United States"",""landing_point_id"":4862}]",MAREA,#9ea0a2,"<MultiGeometry><LineString><coordinates>-76.0591980554816,36.7550084406425,0 -75.3091497586978,36.9550470057912,0 -53.3378274327637,34.8073951279563,0 -24.6332579236,42.5230391120505,0 -5.95153287665935,45.4208668003755,0 -2.94919125354632,43.2742190006118,0</coordinates></LineString></MultiGeometry>","6,600 km",Q1 2018,"Facebook,  Microsoft,  Telefonica",,
ireland-france-cable-1-ifc-1,1889,"[{""latlon"":""51.898337,-8.472768"",""name"":""Cork, Ireland"",""landing_point_id"":3522},{""latlon"":""48.730260,-3.459928"",""name"":""Lannion, France"",""landing_point_id"":5837}]",Ireland-France Cable-1 (IFC-1),#9ea0a2,"<MultiGeometry><LineString><coordinates>-8.47272249687495,51.8986058541976,0 -8.22291798633884,51.7440772529508,0 -6.7890322833669,49.806507492113,0 -5.98830042873788,49.1856568768729,0 -4.86710981674981,48.9737712108556,0 -3.70993290212979,48.8951844682026,0 -3.45988425114161,48.7305546797012,0</coordinates></LineString></MultiGeometry>",565 km,October 2017,Ireland-France Subsea Cable Limited,http://www.ifc-1.com,
brazilian-festoon,1888,"[{""latlon"":""-10.909604,-37.074805"",""name"":""Aracajú, Brazil"",""landing_point_id"":3356},{""latlon"":""-21.631157,-41.027245"",""name"":""Atafona, Brazil"",""landing_point_id"":16690},{""latlon"":""-14.787972,-39.047704"",""name"":""Ilhéus, Brazil"",""landing_point_id"":4590},{""latlon"":""-7.115295,-34.861037"",""name"":""João Pessoa, Brazil"",""landing_point_id"":3351},{""latlon"":""-22.371806,-41.785643"",""name"":""Macaé, Brazil"",""landing_point_id"":3387},{""latlon"":""-9.666465,-35.734962"",""name"":""Maceió, Brazil"",""landing_point_id"":3344},{""latlon"":""-5.794836,-35.211183"",""name"":""Natal, Brazil"",""landing_point_id"":3354},{""latlon"":""-16.451081,-39.064697"",""name"":""Porto Seguro, Brazil"",""landing_point_id"":5493},{""latlon"":""-8.055333,-34.871974"",""name"":""Recife, Brazil"",""landing_point_id"":3352},{""latlon"":""-22.903397,-43.209568"",""name"":""Rio de Janeiro, Brazil"",""landing_point_id"":3242},{""latlon"":""-12.969979,-38.504541"",""name"":""Salvador, Brazil"",""landing_point_id"":3342},{""latlon"":""-11.846664,-37.570508"",""name"":""Sitio, Brazil"",""landing_point_id"":16689},{""latlon"":""-18.716705,-39.859130"",""name"":""São Mateus, Brazil"",""landing_point_id"":5506},{""latlon"":""-20.294024,-40.301659"",""name"":""Vitória, Brazil"",""landing_point_id"":3343}]",Brazilian Festoon,#548f51,"<MultiGeometry><LineString><coordinates>-35.2111801176007,-5.79484245419528,0 -34.4612294769978,-5.79484245419528,0 -34.3609854073866,-6.86705518261109,0 -34.8610338812726,-7.1152929651299,0 -34.3610342354771,-7.36320286574157,0 -34.3719717277288,-7.8077146531363,0 -34.8719713735244,-8.05532270368685,0 -34.3719717277288,-8.3027794065844,0 -34.3719717277288,-8.79722070203368,0 -34.9850084028229,-9.66646835212361,0 -35.7349590434258,-9.65222014243109,0 -35.7349590434258,-10.4049868567844,0 -36.3248023755753,-10.9096043103971,0 -37.0748018442686,-10.9096043103971,0 -37.0748018442686,-11.4001562522223,0 -37.0748018442686,-11.6018819537113,0 -37.5705046181081,-11.8466657806312,0 -37.5705046181081,-12.4576571824374,0 -37.8794887742209,-12.9699732534519,0 -38.5044883314653,-12.9699732534519,0 -38.5045371595557,-13.2134750515818,0 -38.5044883314653,-14.2621634824382,0 -39.0477008372735,-14.7879644803951,0 -38.5477011914779,-15.270858922595,0 -38.5476523633875,-15.9546190797393,0 -39.064693012736,-16.45107407934,0 -38.5646933669405,-16.9300070572603,0 -38.5646933669405,-17.646118037955,0 -38.8590779240207,-18.2424773770611,0 -39.8591260437022,-18.7166937104584,0 -39.3018022197657,-19.0681646064346,0 -39.3018022197657,-19.5400512373425,0 -39.5518020426634,-20.0593716532375,0 -40.0516552041878,-20.2940296189309,0 -40.3016550270855,-20.2940296189309,0 -40.3016550270855,-20.7622776155276,0 -40.3016550270855,-20.9551012897944,0 -40.7772406276762,-21.63114937023,0 -41.027240450574,-21.63114937023,0 -40.7772406276762,-21.8633558263621,0 -40.7771917995858,-22.3717045501677,0 -41.0271916224836,-22.6026954269447,0 -41.5356385279201,-22.6026954269447,0 -41.7856383508178,-22.37179485614,0 -41.7856383508178,-23.0635129681189,0 -42.0708920549914,-23.2449783326902,0 -43.2095631233462,-22.9034839647324,0</coordinates></LineString></MultiGeometry>","2,543 km",1996,Embratel,,
ooredoo-maldives-domestic-submarine-cable-system,1868,"[{""latlon"":""5.103230,73.070821"",""name"":""Eydhafushi, Maldives"",""landing_point_id"":10812},{""latlon"":""-0.606020,73.089181"",""name"":""Hithadhoo, Maldives"",""landing_point_id"":10816},{""latlon"":""4.211946,73.540157"",""name"":""Hulhumale, Maldives"",""landing_point_id"":9215},{""latlon"":""2.776766,73.424630"",""name"":""Kolhufushi, Maldives"",""landing_point_id"":16506},{""latlon"":""6.622443,73.071407"",""name"":""Kulhudhufushi, Maldives"",""landing_point_id"":10811},{""latlon"":""0.531088,72.997677"",""name"":""Thinadhoo, Maldives"",""landing_point_id"":16505}]",Ooredoo Maldives Domestic Submarine Cable System,#bd75b1,"<MultiGeometry><LineString><coordinates>73.0891826145312,-0.605520805169766,0 72.9976787731034,0.281087260908336,0 72.9976787731034,0.531080606428881,0 72.9976787731034,0.781063841597854,0 73.424631595646,2.77677633316418,0 73.5395729204705,3.27607703545286,0 73.5403541699171,3.96298071606907,0 73.5403541699171,4.21234437942167,0 73.4903542053375,4.46162813509415,0 73.2708231108554,4.85456320741745,0 73.0708232525372,5.10361944119789,0 73.1708231816963,5.60143729268959,0 73.171506774962,6.12582537786958,0 73.0715068458029,6.62282936395045,0</coordinates></LineString></MultiGeometry>","1,086 km",March 2017,n.a.,,
saba-statia-cable-system-sscs,1807,"[{""latlon"":""17.298451,-62.731226"",""name"":""Basseterre, Saint Kitts and Nevis"",""landing_point_id"":4356},{""latlon"":""17.616493,-63.251636"",""name"":""Fort Bay, Bonaire, Sint Eustatius and Saba"",""landing_point_id"":16282},{""latlon"":""18.024452,-63.055054"",""name"":""Great Bay Beach, Saint Martin"",""landing_point_id"":16123},{""latlon"":""17.481849,-62.987036"",""name"":""Oranjestad Bay, Bonaire, Sint Eustatius and Saba"",""landing_point_id"":16283}]","Saba, Statia Cable System (SSCS)",#8dc851,"<MultiGeometry><LineString><coordinates>-62.7297641388026,17.298638828531,0 -62.8297640679617,17.298638828531,0 -62.9870393471714,17.3864489535303,0 -62.9870393471714,17.4818550638735,0 -63.087088104421,17.4818550638735,0 -63.2516387691017,17.5211582788688,0 -63.2516387691017,17.6164937024155,0 -63.3516875263513,17.6164937024155,0 -63.3516875263513,17.7117787818339,0 -63.1550568062713,17.9293298390632,0 -63.0550568771122,18.0244478670329,0</coordinates></LineString></MultiGeometry>",n.a.,2013,n.a.,http://www.sscsbv.com,
east-west-submarine-cable-system,1886,"[{""latlon"":""1.520175,110.353714"",""name"":""Kuching, Malaysia"",""landing_point_id"":7808},{""latlon"":""2.295516,103.849908"",""name"":""Mersing, Malaysia"",""landing_point_id"":5902},{""latlon"":""3.666756,108.290238"",""name"":""Penarik, Indonesia"",""landing_point_id"":16634},{""latlon"":""3.207137,106.211137"",""name"":""Terempa, Indonesia"",""landing_point_id"":16635}]",East-West Submarine Cable System,#6c70b5,"<MultiGeometry><LineString><coordinates>103.850684260295,2.29570682843529,0 105.645897832299,2.6306502600296,0 106.007909294596,2.83851848877544,0 106.211131806882,3.20714459117903,0 106.967576583509,3.20880214476716,0 108.046677381564,3.41889919813888,0 108.290231896528,3.66676406491768,0 108.904391617701,3.34471226348457,0 109.637496567113,2.75502437483188,0 110.353804653423,2.02041439842371,0 110.353706997243,1.52016693991363,0</coordinates></LineString></MultiGeometry>",950 km,n.a.,Sacofa,,
smpcs-packet-1,1884,"[{""latlon"":""-3.655384,128.190717"",""name"":""Ambon, Indonesia"",""landing_point_id"":16571},{""latlon"":""-4.520179,129.872064"",""name"":""Bandaneria, Indonesia"",""landing_point_id"":16626},{""latlon"":""-3.097767,133.019425"",""name"":""Fakfak, Indonesia"",""landing_point_id"":16574},{""latlon"":""-3.998475,122.512985"",""name"":""Kendari, Indonesia"",""landing_point_id"":16570},{""latlon"":""-0.626797,127.480463"",""name"":""Labuha, Indonesia"",""landing_point_id"":16636},{""latlon"":""1.490878,124.839547"",""name"":""Manado, Indonesia"",""landing_point_id"":15115},{""latlon"":""-3.297840,128.955267"",""name"":""Masohi, Indonesia"",""landing_point_id"":16625},{""latlon"":""-3.233412,127.085834"",""name"":""Namlea, Indonesia"",""landing_point_id"":16624},{""latlon"":""-2.201479,125.937007"",""name"":""Sanana, Indonesia"",""landing_point_id"":16623},{""latlon"":""0.734970,127.561420"",""name"":""Sofifi, Indonesia"",""landing_point_id"":16622},{""latlon"":""-0.882070,131.295403"",""name"":""Sorong, Indonesia"",""landing_point_id"":16573},{""latlon"":""0.789853,127.375385"",""name"":""Ternate, Indonesia"",""landing_point_id"":16572}]",SMPCS Packet-1,#6c70b5,"<MultiGeometry><LineString><coordinates>127.125374803536,1.03981982952302,0 127.375374626433,0.977329559885242,0 127.447933168782,0.867871189982827,0 127.561409650895,0.734974159349509,0</coordinates></LineString><LineString><coordinates>127.375374626433,0.977329559885242,0 127.375374626433,0.914838127539265,0 127.375374626433,0.789852072003663,0</coordinates></LineString><LineString><coordinates>128.190706080095,-3.6457430595117,0 128.315705991544,-3.90484712995519,0 128.190706080095,-4.27889028883096,0 126.690707142708,-4.27889028883096,0 125.12498559563,-3.8121866265138,0 123.124987012448,-3.8121866265138,0 122.512975727253,-3.99847159115814,0</coordinates></LineString><LineString><coordinates>127.480452676995,-0.626808621430855,0 127.385921493962,-0.796424262459445,0 127.385921493962,-1.03916619993727,0</coordinates></LineString><LineString><coordinates>126.686996207837,-1.1056584065067,0 127.385921493962,-1.03916619993727,0 127.749495455153,-1.03916619993727,0 128.282795858608,-1.30580914865158,0 129.032795327301,-1.18083869170816,0 129.882794725154,-0.839193311592786,0 130.39002092833,-0.5901896194919,0 130.890118230306,-0.5901896194919,0 131.295391380707,-0.882059537706274,0</coordinates></LineString><LineString><coordinates>126.686996207837,-2.20147343995336,0 125.936996739144,-2.20147343995336,0</coordinates></LineString><LineString><coordinates>127.335823873202,-3.23340243165855,0 127.085824050304,-3.23340243165855,0</coordinates></LineString><LineString><coordinates>128.955256319731,-3.90484712995519,0 128.955256319731,-3.2978483445005,0</coordinates></LineString><LineString><coordinates>129.872052545263,-4.52016906647009,0 129.872052545263,-4.14633933598261,0</coordinates></LineString><LineString><coordinates>124.839634235276,1.49078257623188,0 125.063755170256,1.25862317674246,0 126.708285255256,1.0683306085728,0 127.125374803536,1.03981982952302,0 126.875374980638,0.539869278861196,0 126.686996207837,0.0398776185986314,0 126.686996207837,-1.1056584065067,0 126.686996207837,-2.20147343995336,0 127.085824050304,-2.48434176120065,0 127.335823873202,-3.23340243165855,0 127.360140262226,-3.32553638455979,0 127.585628383738,-3.75196654603365,0 127.940706257197,-3.90484712995519,0 128.190706080095,-3.90484712995519,0 128.190706080095,-3.6457430595117,0 128.440705902993,-3.90484712995519,0 128.955256319731,-3.90484712995519,0 129.872052545263,-4.14633933598261,0 130.497052102508,-4.14633933598261,0 131.033379847568,-3.89520155664893,0 131.458184234133,-3.7450477907327,0 132.605351390219,-3.55451726624272,0 132.726738022977,-3.45236486938621,0 133.008573760822,-3.11142179167755,0</coordinates></LineString></MultiGeometry>","3,156 km",2015,Telkom Indonesia,,
