Country Name,Country Code,2012,2013,2014,2015,2016
Aruba,ABW,413.0355512536,,,,
Andorra,AND,,,,,
Afghanistan,AFG,18168.8632027705,,,,
Angola,AGO,41657.1648460299,,,,
Albania,ALB,8898.6409114027,,,,
Arab World,ARB,2577646.71520075,,,,
United Arab Emirates,ARE,204888.718962496,,,,
Argentina,ARG,380295.320368897,,,,
Armenia,ARM,12319.3896093062,,,,
American Samoa,ASM,58.7655192902,,,,
Antigua and Barbuda,ATG,552.7479143043,,,,
Australia,AUS,761686.273857649,,,,
Austria,AUT,90460.2102892241,,,,
Azerbaijan,AZE,56537.0817767984,,,,
Burundi,BDI,6254.3710242253,,,,
Belgium,BEL,133373.684007061,,,,
Benin,BEN,33533.0967333661,,,,
Burkina Faso,BFA,43910.4023930555,,,,
Bangladesh,BGD,183300.562417687,,,,
Bulgaria,BGR,67942.6956330647,,,,
Bahrain,BHR,32849.1057287728,,,,
"Bahamas, The",BHS,4865.2067673892,,,,
Bosnia and Herzegovina,BIH,27108.4002030228,,,,
Belarus,BLR,109647.238750262,,,,
Belize,BLZ,1569.8585030674,,,,
Bermuda,BMU,632.8769920708,,,,
Bolivia,BOL,621726.72675282,,,,
Brazil,BRA,2989417.95671697,,,,
Barbados,BRB,1540.6157088427,,,,
Brunei Darussalam,BRN,14828.9670065495,,,,
Bhutan,BTN,3296.9637250255,,,,
Botswana,BWA,82110.2767551773,,,,
Central African Republic,CAF,515134.078641482,,,,
Canada,CAN,1027063.85487082,,,,
Central Europe and the Baltics,CEB,970733.622563327,,,,
Switzerland,CHE,54108.0975149024,,,,
Channel Islands,CHI,,,,,
Chile,CHL,120687.892409947,,,,
China,CHN,12454710.6051,,,,
Cote d'Ivoire,CIV,33502.160237923,,,,
Cameroon,CMR,100922.136209962,,,,
"Congo, Rep.",COG,35743.9185202452,,,,
Colombia,COL,173411.767914881,,,,
Comoros,COM,564.2206617218,,,,
Cabo Verde,CPV,411.3250112516,,,,
Costa Rica,CRI,12274.1340926836,,,,
Caribbean small states,CSS,96171.4120701711,,,,
Cuba,CUB,52418.4556499535,,,,
Curacao,CUW,,,,,
Cayman Islands,CYM,448.8809383807,,,,
Cyprus,CYP,7431.1934534805,,,,
